,0
924,1820-11-01
925,1820-12-01
926,1821-01-01
927,1821-02-01
928,1821-03-01
929,1821-04-01
930,1821-05-01
931,1821-06-01
932,1821-07-01
933,1821-08-01
934,1821-09-01
935,1821-10-01
936,1821-11-01
937,1821-12-01
938,1822-01-01
939,1822-02-01
940,1822-03-01
941,1822-04-01
942,1822-05-01
943,1822-06-01
944,1822-07-01
945,1822-08-01
946,1822-09-01
947,1822-10-01
948,1822-11-01
949,1822-12-01
950,1823-01-01
951,1823-02-01
952,1823-03-01
953,1823-04-01
954,1823-05-01
955,1823-06-01
956,1823-07-01
957,1823-08-01
958,1823-09-01
959,1823-10-01
960,1823-11-01
961,1823-12-01
962,1824-01-01
963,1824-02-01
964,1824-03-01
965,1824-04-01
966,1824-05-01
967,1824-06-01
968,1824-07-01
969,1824-08-01
970,1824-09-01
971,1824-10-01
972,1824-11-01
973,1824-12-01
974,1825-01-01
975,1825-02-01
976,1825-03-01
977,1825-04-01
978,1825-05-01
979,1825-06-01
980,1825-07-01
981,1825-08-01
982,1825-09-01
983,1825-10-01
984,1825-11-01
985,1825-12-01
986,1826-01-01
987,1826-02-01
988,1826-03-01
989,1826-04-01
990,1826-05-01
991,1826-06-01
992,1826-07-01
993,1826-08-01
994,1826-09-01
995,1826-10-01
996,1826-11-01
997,1826-12-01
998,1827-01-01
999,1827-02-01
1000,1827-03-01
1001,1827-04-01
1002,1827-05-01
1003,1827-06-01
1004,1827-07-01
1005,1827-08-01
1006,1827-09-01
1007,1827-10-01
1008,1827-11-01
1009,1827-12-01
1010,1828-01-01
1011,1828-02-01
1012,1828-03-01
1013,1828-04-01
1014,1828-05-01
1015,1828-06-01
1016,1828-07-01
1017,1828-08-01
1018,1828-09-01
1019,1828-10-01
1020,1828-11-01
1021,1828-12-01
1022,1829-01-01
1023,1829-02-01
1024,1829-03-01
1025,1829-04-01
1026,1829-05-01
1027,1829-06-01
1028,1829-07-01
1029,1829-08-01
1030,1829-09-01
1031,1829-10-01
1032,1829-11-01
1033,1829-12-01
1034,1830-01-01
1035,1830-02-01
1036,1830-03-01
1037,1830-04-01
1038,1830-05-01
1039,1830-06-01
1040,1830-07-01
1041,1830-08-01
1042,1830-09-01
1043,1830-10-01
1044,1830-11-01
1045,1830-12-01
1046,1831-01-01
1047,1831-02-01
1048,1831-03-01
1049,1831-04-01
1050,1831-05-01
1051,1831-06-01
1052,1831-07-01
1053,1831-08-01
1054,1831-09-01
1055,1831-10-01
1056,1831-11-01
1057,1831-12-01
1058,1832-01-01
1059,1832-02-01
1060,1832-03-01
1061,1832-04-01
1062,1832-05-01
1063,1832-06-01
1064,1832-07-01
1065,1832-08-01
1066,1832-09-01
1067,1832-10-01
1068,1832-11-01
1069,1832-12-01
1070,1833-01-01
1071,1833-02-01
1072,1833-03-01
1073,1833-04-01
1074,1833-05-01
1075,1833-06-01
1076,1833-07-01
1077,1833-08-01
1078,1833-09-01
1079,1833-10-01
1080,1833-11-01
1081,1833-12-01
1082,1834-01-01
1083,1834-02-01
1084,1834-03-01
1085,1834-04-01
1086,1834-05-01
1087,1834-06-01
1088,1834-07-01
1089,1834-08-01
1090,1834-09-01
1091,1834-10-01
1092,1834-11-01
1093,1834-12-01
1094,1835-01-01
1095,1835-02-01
1096,1835-03-01
1097,1835-04-01
1098,1835-05-01
1099,1835-06-01
1100,1835-07-01
1101,1835-08-01
1102,1835-09-01
1103,1835-10-01
1104,1835-11-01
1105,1835-12-01
1106,1836-01-01
1107,1836-02-01
1108,1836-03-01
1109,1836-04-01
1110,1836-05-01
1111,1836-06-01
1112,1836-07-01
1113,1836-08-01
